2025-10-08 00:00:03.550 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.566 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.581 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.596 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.612 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.627 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.643 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.658 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.673 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.689 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.704 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.720 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.735 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:03.750 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
